Instrument,Duration Minutes,Term
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,147.0,Short Term (<1 Day)
EUR/USD,4.0,Short Term (<1 Day)
EUR/USD,4.0,Short Term (<1 Day)
EUR/USD,4.0,Short Term (<1 Day)
EUR/USD,4.0,Short Term (<1 Day)
EUR/USD,4.0,Short Term (<1 Day)
EUR/USD,4.0,Short Term (<1 Day)
EUR/USD,4.0,Short Term (<1 Day)
EUR/USD,3749.0,Long Term (>1 Day)
EUR/USD,317.0,Short Term (<1 Day)
EUR/USD,317.0,Short Term (<1 Day)
EUR/USD,317.0,Short Term (<1 Day)
EUR/USD,317.0,Short Term (<1 Day)
EUR/USD,317.0,Short Term (<1 Day)
EUR/USD,317.0,Short Term (<1 Day)
EUR/USD,317.0,Short Term (<1 Day)
EUR/USD,317.0,Short Term (<1 Day)
EUR/USD,317.0,Short Term (<1 Day)
EUR/USD,4869.0,Long Term (>1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,368.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,370.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,372.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,8.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,142.0,Short Term (<1 Day)
EUR/USD,142.0,Short Term (<1 Day)
EUR/USD,142.0,Short Term (<1 Day)
EUR/USD,142.0,Short Term (<1 Day)
EUR/USD,142.0,Short Term (<1 Day)
EUR/USD,142.0,Short Term (<1 Day)
EUR/USD,143.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,18.0,Short Term (<1 Day)
EUR/USD,18.0,Short Term (<1 Day)
EUR/USD,18.0,Short Term (<1 Day)
EUR/USD,18.0,Short Term (<1 Day)
EUR/USD,18.0,Short Term (<1 Day)
EUR/USD,25.0,Short Term (<1 Day)
EUR/USD,25.0,Short Term (<1 Day)
EUR/USD,25.0,Short Term (<1 Day)
EUR/USD,25.0,Short Term (<1 Day)
EUR/USD,25.0,Short Term (<1 Day)
EUR/USD,25.0,Short Term (<1 Day)
EUR/USD,27.0,Short Term (<1 Day)
EUR/USD,27.0,Short Term (<1 Day)
EUR/USD,27.0,Short Term (<1 Day)
EUR/USD,27.0,Short Term (<1 Day)
EUR/USD,27.0,Short Term (<1 Day)
EUR/USD,29.0,Short Term (<1 Day)
EUR/USD,29.0,Short Term (<1 Day)
EUR/USD,29.0,Short Term (<1 Day)
EUR/USD,29.0,Short Term (<1 Day)
EUR/USD,124.0,Short Term (<1 Day)
EUR/USD,9.0,Short Term (<1 Day)
EUR/USD,45.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,12.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,11.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,14.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,10.0,Short Term (<1 Day)
EUR/USD,9.0,Short Term (<1 Day)
EUR/USD,9.0,Short Term (<1 Day)
EUR/USD,9.0,Short Term (<1 Day)
EUR/USD,9.0,Short Term (<1 Day)
EUR/USD,987.0,Short Term (<1 Day)
EUR/USD,6.0,Short Term (<1 Day)
EUR/USD,6.0,Short Term (<1 Day)
EUR/USD,6.0,Short Term (<1 Day)
EUR/USD,6.0,Short Term (<1 Day)
EUR/USD,6.0,Short Term (<1 Day)
EUR/USD,6.0,Short Term (<1 Day)
EUR/USD,6.0,Short Term (<1 Day)
EUR/USD,6.0,Short Term (<1 Day)
EUR/USD,6.0,Short Term (<1 Day)
EUR/USD,6.0,Short Term (<1 Day)
EUR/USD,6.0,Short Term (<1 Day)
EUR/USD,4210.0,Long Term (>1 Day)
EUR/USD,4013.0,Long Term (>1 Day)
EUR/USD,4013.0,Long Term (>1 Day)
EUR/USD,4013.0,Long Term (>1 Day)
EUR/USD,4013.0,Long Term (>1 Day)
EUR/USD,4013.0,Long Term (>1 Day)
EUR/USD,4013.0,Long Term (>1 Day)
EUR/USD,4013.0,Long Term (>1 Day)
EUR/USD,4013.0,Long Term (>1 Day)
EUR/USD,4013.0,Long Term (>1 Day)
EUR/USD,4013.0,Long Term (>1 Day)
EUR/USD,4012.0,Long Term (>1 Day)
EUR/USD,4012.0,Long Term (>1 Day)
EUR/USD,4012.0,Long Term (>1 Day)
EUR/USD,4012.0,Long Term (>1 Day)
EUR/USD,4012.0,Long Term (>1 Day)
EUR/USD,4047.0,Long Term (>1 Day)
EUR/USD,4047.0,Long Term (>1 Day)
EUR/USD,4044.0,Long Term (>1 Day)
EUR/USD,4044.0,Long Term (>1 Day)
EUR/USD,4044.0,Long Term (>1 Day)
EUR/USD,4044.0,Long Term (>1 Day)
EUR/USD,4044.0,Long Term (>1 Day)
EUR/USD,4044.0,Long Term (>1 Day)
EUR/USD,4044.0,Long Term (>1 Day)
EUR/USD,4044.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4115.0,Long Term (>1 Day)
EUR/USD,4114.0,Long Term (>1 Day)
EUR/USD,4114.0,Long Term (>1 Day)
EUR/USD,4114.0,Long Term (>1 Day)
EUR/USD,4114.0,Long Term (>1 Day)
EUR/USD,4114.0,Long Term (>1 Day)
EUR/USD,120.0,Short Term (<1 Day)
EUR/USD,120.0,Short Term (<1 Day)
EUR/USD,120.0,Short Term (<1 Day)
EUR/USD,120.0,Short Term (<1 Day)
EUR/USD,120.0,Short Term (<1 Day)
EUR/USD,387.0,Short Term (<1 Day)
EUR/USD,387.0,Short Term (<1 Day)
EUR/USD,387.0,Short Term (<1 Day)
EUR/USD,387.0,Short Term (<1 Day)
EUR/USD,386.0,Short Term (<1 Day)
EUR/USD,386.0,Short Term (<1 Day)
EUR/USD,386.0,Short Term (<1 Day)
EUR/USD,386.0,Short Term (<1 Day)
EUR/USD,386.0,Short Term (<1 Day)
EUR/USD,386.0,Short Term (<1 Day)
EUR/USD,386.0,Short Term (<1 Day)
EUR/USD,386.0,Short Term (<1 Day)
EUR/USD,267.0,Short Term (<1 Day)
EUR/USD,267.0,Short Term (<1 Day)
EUR/USD,267.0,Short Term (<1 Day)
EUR/USD,267.0,Short Term (<1 Day)
EUR/USD,267.0,Short Term (<1 Day)
EUR/USD,267.0,Short Term (<1 Day)
EUR/USD,267.0,Short Term (<1 Day)
EUR/USD,267.0,Short Term (<1 Day)
EUR/USD,267.0,Short Term (<1 Day)
EUR/USD,268.0,Short Term (<1 Day)
EUR/USD,268.0,Short Term (<1 Day)
EUR/USD,286.0,Short Term (<1 Day)
EUR/USD,286.0,Short Term (<1 Day)
EUR/USD,286.0,Short Term (<1 Day)
EUR/USD,286.0,Short Term (<1 Day)
EUR/USD,287.0,Short Term (<1 Day)
EUR/USD,287.0,Short Term (<1 Day)
EUR/USD,246.0,Short Term (<1 Day)
EUR/USD,246.0,Short Term (<1 Day)
EUR/USD,246.0,Short Term (<1 Day)
EUR/USD,246.0,Short Term (<1 Day)
EUR/USD,246.0,Short Term (<1 Day)
EUR/USD,246.0,Short Term (<1 Day)
EUR/USD,246.0,Short Term (<1 Day)
EUR/USD,246.0,Short Term (<1 Day)
EUR/USD,246.0,Short Term (<1 Day)
EUR/USD,248.0,Short Term (<1 Day)
EUR/USD,248.0,Short Term (<1 Day)
EUR/USD,248.0,Short Term (<1 Day)
EUR/USD,248.0,Short Term (<1 Day)
EUR/USD,248.0,Short Term (<1 Day)
EUR/USD,220.0,Short Term (<1 Day)
EUR/USD,220.0,Short Term (<1 Day)
EUR/USD,220.0,Short Term (<1 Day)
EUR/USD,220.0,Short Term (<1 Day)
EUR/USD,220.0,Short Term (<1 Day)
EUR/USD,220.0,Short Term (<1 Day)
EUR/USD,220.0,Short Term (<1 Day)
EUR/USD,220.0,Short Term (<1 Day)
EUR/USD,220.0,Short Term (<1 Day)
EUR/USD,222.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,17.0,Short Term (<1 Day)
EUR/USD,7.0,Short Term (<1 Day)
EUR/USD,113.0,Short Term (<1 Day)
EUR/USD,113.0,Short Term (<1 Day)
EUR/USD,113.0,Short Term (<1 Day)
EUR/USD,113.0,Short Term (<1 Day)
EUR/USD,113.0,Short Term (<1 Day)
EUR/USD,113.0,Short Term (<1 Day)
EUR/USD,112.0,Short Term (<1 Day)
EUR/USD,193.0,Short Term (<1 Day)
EUR/USD,193.0,Short Term (<1 Day)
EUR/USD,193.0,Short Term (<1 Day)
EUR/USD,192.0,Short Term (<1 Day)
EUR/USD,192.0,Short Term (<1 Day)
EUR/USD,192.0,Short Term (<1 Day)
EUR/USD,189.0,Short Term (<1 Day)
EUR/USD,189.0,Short Term (<1 Day)
EUR/USD,189.0,Short Term (<1 Day)
EUR/USD,189.0,Short Term (<1 Day)
EUR/USD,189.0,Short Term (<1 Day)
EUR/USD,189.0,Short Term (<1 Day)
EUR/USD,189.0,Short Term (<1 Day)
EUR/USD,189.0,Short Term (<1 Day)
EUR/USD,189.0,Short Term (<1 Day)
EUR/USD,189.0,Short Term (<1 Day)
EUR/USD,189.0,Short Term (<1 Day)
EUR/USD,85.0,Short Term (<1 Day)
EUR/USD,85.0,Short Term (<1 Day)
EUR/USD,85.0,Short Term (<1 Day)
EUR/USD,85.0,Short Term (<1 Day)
EUR/USD,159.0,Short Term (<1 Day)
EUR/USD,159.0,Short Term (<1 Day)
EUR/USD,158.0,Short Term (<1 Day)
EUR/USD,158.0,Short Term (<1 Day)
EUR/USD,157.0,Short Term (<1 Day)
EUR/USD,157.0,Short Term (<1 Day)
EUR/USD,157.0,Short Term (<1 Day)
EUR/USD,157.0,Short Term (<1 Day)
EUR/USD,157.0,Short Term (<1 Day)
EUR/USD,157.0,Short Term (<1 Day)
EUR/USD,157.0,Short Term (<1 Day)
EUR/USD,157.0,Short Term (<1 Day)
EUR/USD,156.0,Short Term (<1 Day)
EUR/USD,156.0,Short Term (<1 Day)
EUR/USD,156.0,Short Term (<1 Day)
EUR/USD,156.0,Short Term (<1 Day)
EUR/USD,156.0,Short Term (<1 Day)
EUR/USD,156.0,Short Term (<1 Day)
EUR/USD,156.0,Short Term (<1 Day)
EUR/USD,156.0,Short Term (<1 Day)
EUR/USD,156.0,Short Term (<1 Day)
EUR/USD,156.0,Short Term (<1 Day)
EUR/USD,156.0,Short Term (<1 Day)
EUR/USD,156.0,Short Term (<1 Day)
EUR/USD,130.0,Short Term (<1 Day)
EUR/USD,130.0,Short Term (<1 Day)
EUR/USD,130.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,129.0,Short Term (<1 Day)
EUR/USD,128.0,Short Term (<1 Day)
EUR/USD,128.0,Short Term (<1 Day)
EUR/USD,128.0,Short Term (<1 Day)
EUR/USD,128.0,Short Term (<1 Day)
EUR/USD,128.0,Short Term (<1 Day)
EUR/USD,128.0,Short Term (<1 Day)
EUR/USD,128.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,127.0,Short Term (<1 Day)
EUR/USD,352.0,Short Term (<1 Day)
EUR/USD,352.0,Short Term (<1 Day)
EUR/USD,352.0,Short Term (<1 Day)
EUR/USD,352.0,Short Term (<1 Day)
EUR/USD,352.0,Short Term (<1 Day)
EUR/USD,341.0,Short Term (<1 Day)
EUR/USD,341.0,Short Term (<1 Day)
EUR/USD,341.0,Short Term (<1 Day)
EUR/USD,340.0,Short Term (<1 Day)
EUR/USD,340.0,Short Term (<1 Day)
EUR/USD,340.0,Short Term (<1 Day)
EUR/USD,340.0,Short Term (<1 Day)
EUR/USD,340.0,Short Term (<1 Day)
EUR/USD,340.0,Short Term (<1 Day)
EUR/USD,340.0,Short Term (<1 Day)
EUR/USD,340.0,Short Term (<1 Day)
EUR/USD,340.0,Short Term (<1 Day)
EUR/USD,340.0,Short Term (<1 Day)
EUR/USD,340.0,Short Term (<1 Day)
EUR/USD,340.0,Short Term (<1 Day)
EUR/USD,327.0,Short Term (<1 Day)
EUR/USD,327.0,Short Term (<1 Day)
EUR/USD,327.0,Short Term (<1 Day)
EUR/USD,327.0,Short Term (<1 Day)
EUR/USD,327.0,Short Term (<1 Day)
EUR/USD,327.0,Short Term (<1 Day)
EUR/USD,327.0,Short Term (<1 Day)
EUR/USD,327.0,Short Term (<1 Day)
EUR/USD,327.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,328.0,Short Term (<1 Day)
EUR/USD,328.0,Short Term (<1 Day)
EUR/USD,328.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,326.0,Short Term (<1 Day)
EUR/USD,334.0,Short Term (<1 Day)
EUR/USD,334.0,Short Term (<1 Day)
EUR/USD,334.0,Short Term (<1 Day)
EUR/USD,334.0,Short Term (<1 Day)
EUR/USD,334.0,Short Term (<1 Day)
EUR/USD,334.0,Short Term (<1 Day)
EUR/USD,334.0,Short Term (<1 Day)
EUR/USD,334.0,Short Term (<1 Day)
EUR/USD,334.0,Short Term (<1 Day)
EUR/USD,334.0,Short Term (<1 Day)
EUR/USD,334.0,Short Term (<1 Day)
EUR/USD,309.0,Short Term (<1 Day)
EUR/USD,309.0,Short Term (<1 Day)
EUR/USD,309.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
EUR/USD,310.0,Short Term (<1 Day)
